Time,Body,Position
410400.0,Sun,19890.003815704396
410400.0,Mercury,69540571508.38475
410400.0,Venus,109012615430.33975
410400.0,Earth,152132124395.0133
410400.0,Neptune,4558857638559.584
410400.0, Mars,249259213053.81262
410400.0,Saturn,1506527135668.7776
410400.0,Jupiter,816363598002.0931
410400.0,Uranus,3001390041422.433
453600.0,Sun,24503.30299052624
453600.0,Mercury,69457159620.5456
453600.0,Venus,109019484033.26573
453600.0,Earth,152134634621.85608
453600.0,Neptune,4558857641966.231
453600.0, Mars,249257102892.0778
453600.0,Saturn,1506527118584.0557
453600.0,Jupiter,816363570734.5697
453600.0,Uranus,3001390038743.112
496800.0,Sun,29596.633335575614
496800.0,Mercury,69363521555.2296
496800.0,Venus,109026197728.74191
496800.0,Earth,152136966782.75458
496800.0,Neptune,4558857645235.87
496800.0, Mars,249254622455.6004
496800.0,Saturn,1506527095407.7686
496800.0,Jupiter,816363525886.126
496800.0,Uranus,3001390034693.4473
540000.0,Sun,35169.851777304466
540000.0,Mercury,69259696550.32346
540000.0,Venus,109032755296.70639
540000.0,Earth,152139120741.4124
540000.0,Neptune,4558857648368.499
540000.0, Mars,249251771781.45673
540000.0,Saturn,1506527066139.9253
540000.0,Jupiter,816363463456.7844
540000.0,Uranus,3001390029273.441
578880.0,Sun,40595.92267870269
578880.0,Mercury,69157575110.94507
578880.0,Venus,109038522639.97232
578880.0,Earth,152140906835.2979
578880.0,Neptune,4558857651070.723
578880.0, Mars,249248889652.44913
578880.0,Saturn,1506527034590.5928
578880.0,Jupiter,816363392238.7288
578880.0,Uranus,3001390023223.7925
622080.0,Sun,47080.493615581625
622080.0,Mercury,69034504226.05855
622080.0,Venus,109044780364.17305
622080.0,Earth,152142721876.27493
622080.0,Neptune,4558857653943.035
622080.0, Mars,249245335636.15063
622080.0,Saturn,1506526993748.8176
622080.0,Jupiter,816363296405.7556
622080.0,Uranus,3001390015200.136
660960.0,Sun,53326.502602302964
660960.0,Mercury,68915138621.557
660960.0,Venus,109050275977.68503
660960.0,Earth,152144202768.65445
660960.0,Neptune,4558857656410.973
660960.0, Mars,249241820575.5219
660960.0,Saturn,1506526951782.9639
660960.0,Jupiter,816363195124.4921
660960.0,Uranus,3001390006807.2036
704160.0,Sun,60721.78585052666
704160.0,Mercury,68772999430.84424
704160.0,Venus,109056229751.31386
704160.0,Earth,152145678521.82486
704160.0,Neptune,4558857659022.968
704160.0, Mars,249237563393.69116
704160.0,Saturn,1506526899367.2974
704160.0,Jupiter,816363065888.0315
704160.0,Uranus,3001389996179.8984
743040.0,Sun,67787.11969762026
743040.0,Mercury,68636561454.29297
743040.0,Venus,109061450030.06454
743040.0,Earth,152146853916.42715
743040.0,Neptune,4558857661256.62
743040.0, Mars,249233415573.46216
743040.0,Saturn,1506526846984.9614
743040.0,Jupiter,816362934543.7079
743040.0,Uranus,3001389985443.683
786240.0,Sun,76092.39239031333
786240.0,Mercury,68475558691.91511
786240.0,Venus,109067095949.42526
786240.0,Earth,152147990093.50824
786240.0,Neptune,4558857663608.299
786240.0, Mars,249228455431.74588
786240.0,Saturn,1506526782995.4497
786240.0,Jupiter,816362771903.9453
786240.0,Uranus,3001389972212.731
825120.0,Sun,83976.36283701548
825120.0,Mercury,68322245587.326744
825120.0,Venus,109072037472.32825
825120.0,Earth,152148859767.66977
825120.0,Neptune,4558857665607.666
825120.0, Mars,249223675050.06052
825120.0,Saturn,1506526720196.676
825120.0,Jupiter,816362610496.7477
825120.0,Uranus,3001389959133.2334
868320.0,Sun,93190.81798259409
868320.0,Mercury,68142613464.45575
868320.0,Venus,109077371839.2822
868320.0,Earth,152149656162.10165
868320.0,Neptune,4558857667699.027
868320.0, Mars,249218012183.1329
868320.0,Saturn,1506526644633.372
868320.0,Jupiter,816362414453.911
868320.0,Uranus,3001389943298.636
907200.0,Sun,101892.66031999346
907200.0,Mercury,67972650166.35149
907200.0,Venus,109082031371.30934
907200.0,Earth,152150219966.64804
907200.0,Neptune,4558857669464.109
907200.0, Mars,249212599464.26193
907200.0,Saturn,1506526571418.2114
907200.0,Jupiter,816362222984.0637
907200.0,Uranus,3001389927875.859
946080.0,Sun,110981.62769144251
946080.0,Mercury,67794877327.826454
946080.0,Venus,109086556264.22281
946080.0,Earth,152150638847.8271
946080.0,Neptune,4558857671118.215
946080.0, Mars,249206887296.2613
946080.0,Saturn,1506526493268.9924
946080.0,Jupiter,816362017274.095
946080.0,Uranus,3001389911343.107
989280.0,Sun,121534.27961486935
989280.0,Mercury,67588276171.66662
989280.0,Venus,109091425211.7019
989280.0,Earth,152150934298.014
989280.0,Neptune,4558857672825.951
989280.0, Mars,249200189315.7644
989280.0,Saturn,1506526400649.6843
989280.0,Jupiter,816361772006.1707
989280.0,Uranus,3001389891671.562
1028160.0,Sun,131439.84902912437
1028160.0,Mercury,67394240708.962135
1028160.0,Venus,109095663689.72252
1028160.0,Earth,152151047223.4157
1028160.0,Neptune,4558857674245.772
1028160.0, Mars,249193845188.7167
1028160.0,Saturn,1506526312084.1643
1028160.0,Jupiter,816361536233.9515
1028160.0,Uranus,3001389872795.533
1071360.0,Sun,142899.31414146442
1071360.0,Mercury,67169734353.752625
1071360.0,Venus,109100212834.48814
1071360.0,Earth,152151002730.18097
1071360.0,Neptune,4558857675693.193
1071360.0, Mars,249186445188.26898
1071360.0,Saturn,1506526207891.2239
1071360.0,Jupiter,816361257563.6982
1071360.0,Uranus,3001389850520.3477
1140480.0,Sun,162226.1829898392
1140480.0,Mercury,66791481734.612305
1140480.0,Venus,109107139044.17667
1140480.0,Earth,152150559740.53372
1140480.0,Neptune,4558857677724.089
