Time,Body,Position
1252800.0, Mars,249000630180.65942
1330560.0,Sun,241186.4453389132
1330560.0,Mercury,63673910482.47711
1330560.0,Venus,108311883139.28212
1330560.0,Earth,151721428912.66458
1330560.0, Mars,248974312752.23166
1408320.0,Sun,269305.8192646432
1408320.0,Mercury,63049479085.00231
1408320.0,Venus,108273823933.40015
1408320.0,Earth,151694813898.96817
1408320.0, Mars,248946806149.29965
1486080.0,Sun,298963.0901623317
1486080.0,Mercury,62401023753.261185
1486080.0,Venus,108235738560.62155
1486080.0,Earth,151667720761.08755
1486080.0, Mars,248918111396.62076
1572480.0,Sun,333810.83933182165
1572480.0,Mercury,61641558500.16209
1572480.0,Venus,108189198438.28802
1572480.0,Earth,151634912321.2159
1572480.0, Mars,248884037261.2929
1650240.0,Sun,366705.71645970765
1650240.0,Mercury,60947490910.16228
1650240.0,Venus,108151145309.26678
1650240.0,Earth,151606831369.81076
1650240.0, Mars,248852838026.01584
1728000.0,Sun,401129.21847428667
1728000.0,Mercury,60234293101.27031
1728000.0,Venus,108113143204.38489
1728000.0,Earth,151578291665.28058
1728000.0, Mars,248820454146.16418
1805760.0,Sun,437077.85799746815
1805760.0,Mercury,59503902006.122986
1805760.0,Venus,108075216128.19531
1805760.0,Earth,151549299500.4185
1805760.0, Mars,248786886831.1375
1892160.0,Sun,478899.00146464084
1892160.0,Mercury,58661134821.54277
1892160.0,Venus,108028958128.02916
1892160.0,Earth,151514408334.95932
1892160.0, Mars,248747403669.21054
1969920.0,Sun,518054.9907061609
1969920.0,Mercury,57902235434.79289
1969920.0,Venus,107991277231.65866
1969920.0,Earth,151484484027.66397
1969920.0, Mars,248711342463.9773
2056320.0,Sun,563428.9109939177
2056320.0,Mercury,57033349880.1449
2056320.0,Venus,107945348689.90086
2056320.0,Earth,151448572129.54065
2056320.0, Mars,248669091156.90717
2134080.0,Sun,605772.8237530931
2134080.0,Mercury,56257945761.254395
2134080.0,Venus,107908026444.2167
2134080.0,Earth,151417746200.37637
2134080.0, Mars,248630542157.93024
2211840.0,Sun,649618.9836298992
2211840.0,Mercury,55479400392.006836
2211840.0,Venus,107870909660.33699
2211840.0,Earth,151386503308.40137
2211840.0, Mars,248590816834.12274
2289600.0,Sun,694961.976291535
2289600.0,Mercury,54701246582.87978
2289600.0,Venus,107834022084.0366
2289600.0,Earth,151354850380.25424
2289600.0, Mars,248549916676.54977
2367360.0,Sun,741796.0236672758
2367360.0,Mercury,53927324853.44654
2367360.0,Venus,107797387360.70732
2367360.0,Earth,151322794440.2281
2367360.0, Mars,248507843221.8317
2445120.0,Sun,790114.9736286943
2445120.0,Mercury,53161788647.6402
2445120.0,Venus,107761029019.47418
2445120.0,Earth,151290342609.10828
2445120.0, Mars,248464598052.23495
2522880.0,Sun,839912.2939955589
2522880.0,Mercury,52409102753.36787
2522880.0,Venus,107724970457.25502
2522880.0,Earth,151257502102.99182
2522880.0, Mars,248420182795.76645
2592000.0,Sun,885339.2884576505
2592000.0,Mercury,51768774853.21626
2592000.0,Venus,107696599245.80699
2592000.0,Earth,151229720785.3349
2592000.0, Mars,248380363264.16022
2669760.0,Sun,937909.5425546975
2669760.0,Mercury,51053012665.474396
2669760.0,Venus,107661164028.95079
2669760.0,Earth,151196164679.00232
2669760.0, Mars,248333742165.56793
2747520.0,Sun,991937.1990310522
2747520.0,Mercury,50364500232.070984
2747520.0,Venus,107626093069.55856
2747520.0,Earth,151162240879.79825
2747520.0, Mars,248285955916.5238
2825280.0,Sun,1047414.3312743211
2825280.0,Mercury,49708701526.69655
2825280.0,Venus,107591409099.47563
2825280.0,Earth,151127956962.75912
2825280.0, Mars,248237006323.8539
2903040.0,Sun,1104332.723964548
2903040.0,Mercury,49091218153.65127
2903040.0,Venus,107557134641.58372
2903040.0,Earth,151093320592.24408
2903040.0, Mars,248186895240.6343
2980800.0,Sun,1162683.9289346721
2980800.0,Mercury,48517706474.406296
2980800.0,Venus,107523291993.82936
2980800.0,Earth,151058339520.62744
2980800.0, Mars,248135624566.30475
3058560.0,Sun,1222459.3366870398
3058560.0,Mercury,47993776607.6245
3058560.0,Venus,107489903213.29562
3058560.0,Earth,151023021586.9679
3058560.0, Mars,248083196246.78564
3136320.0,Sun,1283650.263359882
3136320.0,Mercury,47524874640.16558
3136320.0,Venus,107456990100.33324
3136320.0,Earth,150987374715.6535
3136320.0, Mars,248029612274.598
3214080.0,Sun,1346248.051614466
3214080.0,Mercury,47116151123.87939
3214080.0,Venus,107424574182.76648
3214080.0,Earth,150951406915.0219
3214080.0, Mars,247974874688.9865
3283200.0,Sun,1402995.5137082678
3283200.0,Mercury,46824722125.3668
3283200.0,Venus,107399624253.06569
3283200.0,Earth,150920910277.8057
3283200.0, Mars,247925896195.8629
3360960.0,Sun,1468227.2602797584
3360960.0,Mercury,46541446821.640305
3360960.0,Venus,107368199129.52269
3360960.0,Earth,150884356877.2704
3360960.0, Mars,247868984954.90176
3438720.0,Sun,1534842.0878696193
3438720.0,Mercury,46330070224.0363
3438720.0,Venus,107337329445.99486
3438720.0,Earth,150847505746.09048
3438720.0, Mars,247810926230.34415
3516480.0,Sun,1602832.5351764404
3516480.0,Mercury,46193285403.82522
3516480.0,Venus,107307035523.90346
3516480.0,Earth,150810365205.3488
3516480.0, Mars,247751722244.33728
3594240.0,Sun,1672191.709861232
3594240.0,Mercury,46132869972.42314
3594240.0,Venus,107277337338.12563
3594240.0,Earth,150772943653.05502
3594240.0, Mars,247691375266.39548
3672000.0,Sun,1742913.3657742091
3672000.0,Mercury,46149618452.43607
3672000.0,Venus,107248254501.97118
3672000.0,Earth,150735249562.61584
3672000.0, Mars,247629887613.5401
3749760.0,Sun,1814991.95383965
3749760.0,Mercury,46243311416.99123
3749760.0,Venus,107219806252.34317
3749760.0,Earth,150697291481.27844
3749760.0, Mars,247567261650.4417
